id;GrammarPoint;GrammarMeaning;Level
1;ちゃいけない・じゃいけない;must not do (spoken Japanese);N5
2;だ / です;to be (am, is, are, were, used to);N5
3;だけ;"only; just; as much as ~";N5
4;だろう;"I think; it seems; probably; right?";N5
5;で;"in; at; on; by; with; via ~";N5
6;でも;"but; however; though ~";N5
7;でしょう;"I think; it seems; probably; right?";N5
8;どんな;"what kind of; what sort of";N5
9;どうして;"why; for what reason; how";N5
10;どうやって;"how; in what way; by what means​";N5
11;が;"subject marker; however; but ~";N5
12;があります;"there is; is (non-living things)";N5
13;がほしい;to want something;N5
14;がいます;"there is; to be; is (living things)";N5
15;ほうがいい;"had better; it'd be better to; should ~";N5
16;い-adjectives;i-adjectives;N5
17;一番（いちばん）;"the most; the best";N5
18;一緒に（いっしょに）;together;N5
19;いつも;"always; usually; habitually";N5
20;じゃない・ではない;"to not be (am not; is not; are not)";N5
21;か;question particle;N5
22;か～か;or;N5
23;から;"because; since; from";N5
24;方（かた）;"the way of doing something; how to do ~";N5
25;けど;"but; however; although ~";N5
26;けれども;"but; however; although ~";N5
27;まだ;"still; not yet";N5
28;まだ～ていません;have not yet ~;N5
29;まで;"until; as far as; to (an extent); even ~";N5
30;前に（まえに）;"before; in front of ~";N5
31;ませんか;"would you; do you want to; shall we ~";N5
32;ましょう;"let's ~; shall we ~";N5
33;ましょうか;"shall I ~; used to offer help to the listener";N5
34;も;"too; also; as well";N5
35;もう;"already; anymore; again; other";N5
36;な-adjectives;na-adjectives;N5
37;なあ;"sentence ending particle; confirmation; admiration, etc";N5
38;ないで;"without doing ~; to do [B] without doing [A]";N5
39;ないでください;please don't do ~;N5
40;ないといけない;"must do; have an obligation to do ~";N5
41;なくてもいい;don't have to;N5
42;なくちゃ;"must do; need to; gotta do ~";N5
43;なくてはいけない;"must do; need to do";N5
44;なくてはならない;"must do; need to do ~";N5
45;なる;to become;N5
46;んです;"to explain something; show emphasis";N5
47;ね;isn't it? right? eh?;N5
48;に;"destination particle; in; at; on; to";N5
49;に行く（にいく）;go to do ~;N5
50;にする;to decide on;N5
51;に/へ;to (indicates direction / destination);N5
52;の;possessive particle;N5
53;のです;"to explain something; show emphasis";N5
54;のが下手（のがへた）;to be bad at doing something;N5
55;のが上手（のがじょうず）;to be good at;N5
56;のが好き（のがすき）;to like doing something;N5
57;の中で[A]が一番（のなかで[A]がいちばん）;out of this group, [A] is best;N5
58;ので;"because of; given that; since ~";N5
59;お / ご;"polite marker; honorific prefix particle";N5
60;を;object marker particle;N5
61;をください;please give me ~;N5
62;しかし;"but; however ~";N5
63;それから;"and; and then; after that; since then";N5
64;そして;"and; and then; thus; and now ~";N5
65;すぎる;too much;N5
66;たことがある;to have done something before;N5
67;たい;want to do something;N5
68;たり～たり;do such things as A and B;N5
69;てある;is/has been done (resulting state);N5
70;ている;ongoing action or current state;N5
71;てから;after doing ~;N5
72;てください;please do;N5
73;てはいけない;"must not; may not; cannot";N5
74;てもいいです;"is OK to ~; is alright to ~; may I ~?";N5
75;と;"and; with; as; connecting particle";N5
76;とき;"when; at this time";N5
77;とても;"very; awfully; exceedingly​";N5
78;つもり;"plan to ~; intend to ~";N5
79;は;topic marker;N5
80;は〜より・・・です;[Noun-1] is more ~ than [Noun-2];N5
81;はどうですか;"how about; how is";N5
82;や;"and; or; connecting particle";N5
83;よ;"you know; emphasis (ending particle)";N5
84;より～ほうが;[2] is more than [1];N5
85;間（あいだ）;"while; during; between ~";N4
86;間に（あいだに）;"while; during~ something happened";N4
87;あまり～ない;not very, not much ~;N4
88;後で（あとで）;"after~; later";N4
89;ば;"conditional form; If [A] then [B]";N4
90;場合は（ばあいは）;"in the event of; in the case that ~";N4
91;ばかり;"only; nothing but ~";N4
92;だけで;"just by; just by doing";N4
93;出す（だす）;"to begin to; to start to; to burst into; ... out (e.g. to jump out, to carry out)​";N4
94;でございます;to be (honorific);N4
95;でも;"... or something; how about~";N4
96;ではないか;"right?; isn't it?";N4
97;が必要（がひつよう）;"need; necessary";N4
98;がする;"to smell; hear; taste";N4
99;がり;"personality (someone tends to; has a tendency to; has a sensitivity to ~)";N4
100;がる / がっている;"to show signs of; to appear; to feel, to think ~";N4
101;ございます;to be, to exist (the polite form of いる/ある);N4
102;始める（はじめる）;"to start; to begin to ~";N4
103;はずだ;"it must be; it should be (expectation)";N4
104;はずがない;cannot be (impossible);N4
105;必要がある（ひつようがある）;"need to; it is necessary to";N4
106;意向形 （いこうけい）;"volitional form​; let's do ~";N4
107;いらっしゃる;"to be; to come; to go (polite version)";N4
108;いたします;to do (polite form of する);N4
109;じゃないか;"right? isn't it? let's~; confirmation";N4
110;かどうか;whether or not ~;N4
111;かしら;I wonder (feminine);N4
112;かい;turns a sentence into a yes/no question;N4
113;かもしれない;"might; perhaps; indicates possibility";N4
114;かな;"I wonder; should I?";N4
115;から作る（からつくる）;"made from; made with";N4
116;きっと;"surely; undoubtedly; almost certainly; most likely";N4
117;頃（ころ / ごろ）;"around; about; when";N4
118;こと;Verb nominalizer;N4
119;ことがある;there are times when;N4
120;ことができる;"can; able to";N4
121;ことになる;"It has been decided that..; it turns out that..";N4
122;ことにする;to decide on;N4
123;くする;to make something ~;N4
124;急に（きゅうに）;"quickly; immediately; hastily; suddenly; abruptly; unexpectedly ~";N4
125;までに;"by; by the time; indicates time limit";N4
126;まま;"as it is; current state; without changing";N4
127;または;"both; or; otherwise​; choice between [A] or [B]";N4
128;みたいだ;"like; similar to; resembling ~";N4
129;みたいな;like, similar to ~;N4
130;みたいに;"like; similar to ~";N4
131;も;"as many as; as much as; up to; nearly ~";N4
132;な;don’t ~ (order somebody to not do something);N4
133;など;"such as; things like ~";N4
134;ながら;"while; during; as; simultaneously";N4
135;なかなか～ない;"not easy to; struggling to; not able to ~";N4
136;なければいけない;"must do something; have to do something";N4
137;なければならない;"must do something; have to do something";N4
138;なら;"if; in the case that ~";N4
139;なさい;do this (soft/firm command);N4
140;なさる;to do (honorific);N4
141;に気がつく（にきがつく）;"to notice; to realize";N4
142;に見える（にみえる）;"to look; to seem; to appear";N4
143;にする;to make something ~;N4
144;にくい;difficult to do ~;N4
145;の中で（のなかで）;"in; among ~";N4
146;のに;although, in spite of, even though ~;N4
147;のに;"to (do something); in order to ~";N4
148;のは〜だ;"[A] is [B]; the reason for [A] is [B]";N4
149;お～ください;please do ~ (honorific);N4
150;お～になる;to do (honorific);N4
151;おきに;repeated at intervals, every ~;N4
152;終わる（おわる）;"to finish; to end~";N4
153;られる;"potential form; ability or inability to do something";N4
154;らしい;"it seems like; I heard; apparently ~";N4
155;さ;"-ness​ ; nominalizer for adjective";N4
156;さっき;"some time ago; just now";N4
157;させられる;"causative-passive; to be made to do something";N4
158;させる;"causative form; to make/let somebody do something";N4
159;させてください;please let me do;N4
160;さすが;"as one would expect; as is to be expected; even ~";N4
161;し;"and; and what’s more ~ (emphasis)";N4
162;そんなに;"so much; so; like that";N4
163;それでも;"but still; and yet; even so ~";N4
164;それに;"besides; in addition; also; moreover ~";N4
165;そうだ;"I heard that; it is said that ~";N4
166;そうだ;"looks like; appears like; seeming ~";N4
167;そうに / そうな;"seems like; looks like ~";N4
168;たばかり;"just finished; something just occurred";N4
169;たところ;just finished doing, was just doing;N4
170;他動詞 & 自動詞（たどうし & じどうし）;Transitive & Intransitive Verbs;N4
171;たがる;wants to do ~ (third person);N4
172;たら;"if; after; when ~";N4
173;たらどう;"why don't you; how about ~ (used to give advice)";N4
174;たらいいですか;"what should I do?; speaker seeking instructions from listener";N4
175;て / で;"conjunctive particle; so; because of [A], [B]...";N4
176;てあげる;"to do for; to do a favor";N4
177;てほしい;"I want you to; need you to ~";N4
178;ていく;"to start; to continue; to go on";N4
179;ていた;was doing something (past continuous);N4
180;ていただけませんか;could you please ~;N4
181;てくれる;"to do a favor; do something for someone";N4
182;てくる;"to do… and come back; to become; to continue; to start ~";N4
183;てみる;try doing;N4
184;てもらう;to get somebody to do something;N4
185;ておく;to do something in advance;N4
186;てしまう / ちゃう;to do something by accident, to finish completely;N4
187;てすみません;I’m sorry for;N4
188;てやる;"to do for; to do a favor (casual)";N4
189;てよかった;I’m glad that ~;N4
190;ているところ;in the process of doing;N4
191;ても;"even; even if; even though ~";N4
192;と;whenever [A] happens, [B] also happens;N4
193;と言ってもいい（といってもいい）;"you could say; one might say; I'd say ~";N4
194;という;"called; named; that ~";N4
195;ということ;convert phrase into noun;N4
196;と言われている（といわれている）;it is said that ~;N4
197;と聞いた（ときいた）;I heard...;N4
198;と思う（とおもう）;"to think…; I think…; you think…";N4
199;とか～とか;"among other things; such as; like ~";N4
200;ところ;"just about to; on the verge of doing something";N4
201;続ける（つづける）;"continue to; keen on ~";N4
202;って;"named; called ~";N4
203;受身形（うけみけい）;"passive form; passive voice";N4
204;は〜が… は;"[A] but [B]; however; comparison";N4
